2024-34-08/22/24 08:34:47 1724295887 IST +0530 | root | DEBUG | Name of module is: logging_configuration
2024-34-08/22/24 08:34:47 1724295887 IST +0530 | root | DEBUG | Path to module is: ['/run/media/ramumsrk/1.0TiB/repositories/Python-Programming-Language-CPython/Modules-Python-Programming-Language-CPython/dataclasses-Standard-Library-Python-Programming-Language-CPython/Python-Data-Classes-Are-Amazing-Here-Is-Why/src/logging_configuration']
2024-34-08/22/24 08:34:47 1724295887 IST +0530 | root | DEBUG | Name of module is: before_dataclasses
2024-34-08/22/24 08:34:47 1724295887 IST +0530 | root | DEBUG | Path to module is: ['/run/media/ramumsrk/1.0TiB/repositories/Python-Programming-Language-CPython/Modules-Python-Programming-Language-CPython/dataclasses-Standard-Library-Python-Programming-Language-CPython/Python-Data-Classes-Are-Amazing-Here-Is-Why/src/before_dataclasses']
2024-34-08/22/24 08:34:47 1724295887 IST +0530 | root | DEBUG | Name of module is: before_dataclasses.point
2024-34-08/22/24 08:34:47 1724295887 IST +0530 | root | DEBUG | Path to module is: ['/run/media/ramumsrk/1.0TiB/repositories/Python-Programming-Language-CPython/Modules-Python-Programming-Language-CPython/dataclasses-Standard-Library-Python-Programming-Language-CPython/Python-Data-Classes-Are-Amazing-Here-Is-Why/src/before_dataclasses/point']
2024-34-08/22/24 08:34:47 1724295887 IST +0530 | root | DEBUG | Name of module is: __main__
2024-34-08/22/24 08:34:47 1724295887 IST +0530 | root | DEBUG | File containing module is: /run/media/ramumsrk/1.0TiB/repositories/Python-Programming-Language-CPython/Modules-Python-Programming-Language-CPython/dataclasses-Standard-Library-Python-Programming-Language-CPython/Python-Data-Classes-Are-Amazing-Here-Is-Why/src/main_Point.py
2024-35-08/22/24 08:35:42 1724295942 IST +0530 | root | DEBUG | Name of module is: logging_configuration
2024-35-08/22/24 08:35:42 1724295942 IST +0530 | root | DEBUG | Path to module is: ['/run/media/ramumsrk/1.0TiB/repositories/Python-Programming-Language-CPython/Modules-Python-Programming-Language-CPython/dataclasses-Standard-Library-Python-Programming-Language-CPython/Python-Data-Classes-Are-Amazing-Here-Is-Why/src/logging_configuration']
2024-35-08/22/24 08:35:42 1724295942 IST +0530 | root | DEBUG | Name of module is: before_dataclasses
2024-35-08/22/24 08:35:42 1724295942 IST +0530 | root | DEBUG | Path to module is: ['/run/media/ramumsrk/1.0TiB/repositories/Python-Programming-Language-CPython/Modules-Python-Programming-Language-CPython/dataclasses-Standard-Library-Python-Programming-Language-CPython/Python-Data-Classes-Are-Amazing-Here-Is-Why/src/before_dataclasses']
2024-35-08/22/24 08:35:42 1724295942 IST +0530 | root | DEBUG | Name of module is: before_dataclasses.point
