2024-08-21 18:33:34 1724245414 IST +0530 | root | DEBUG | Module name is: logging_configuration
2024-08-21 18:33:34 1724245414 IST +0530 | root | DEBUG | Path to module is: ['/run/media/ramumsrk/1.0TiB/repositories/Python-Programming-Language-CPython/OOP-Object-Oriented-Programming-Python-Programming-Language-CPython/Rethinking-The-Need-For-Abstract-Classes-In-Python/src/logging_configuration']
2024-08-21 18:33:34 1724245414 IST +0530 | root | DEBUG | Name of module: use_of_protocols_and_interfaces
2024-08-21 18:33:34 1724245414 IST +0530 | root | DEBUG | Path to module is: ['/run/media/ramumsrk/1.0TiB/repositories/Python-Programming-Language-CPython/OOP-Object-Oriented-Programming-Python-Programming-Language-CPython/Rethinking-The-Need-For-Abstract-Classes-In-Python/src/use_of_protocols_and_interfaces']
2024-08-21 18:33:34 1724245414 IST +0530 | root | DEBUG | Name of module: use_of_protocols_and_interfaces.Duck
2024-08-21 18:33:34 1724245414 IST +0530 | root | DEBUG | Path to module is: ['/run/media/ramumsrk/1.0TiB/repositories/Python-Programming-Language-CPython/OOP-Object-Oriented-Programming-Python-Programming-Language-CPython/Rethinking-The-Need-For-Abstract-Classes-In-Python/src/use_of_protocols_and_interfaces/Duck']
2024-08-21 18:33:34 1724245414 IST +0530 | root | DEBUG | Name of module: use_of_protocols_and_interfaces.Quackable
2024-08-21 18:33:34 1724245414 IST +0530 | root | DEBUG | Path to module is: ['/run/media/ramumsrk/1.0TiB/repositories/Python-Programming-Language-CPython/OOP-Object-Oriented-Programming-Python-Programming-Language-CPython/Rethinking-The-Need-For-Abstract-Classes-In-Python/src/use_of_protocols_and_interfaces/Quackable']
2024-08-21 18:35:26 1724245526 IST +0530 | root | DEBUG | Module name is: logging_configuration
2024-08-21 18:35:26 1724245526 IST +0530 | root | DEBUG | Path to module is: ['/run/media/ramumsrk/1.0TiB/repositories/Python-Programming-Language-CPython/OOP-Object-Oriented-Programming-Python-Programming-Language-CPython/Rethinking-The-Need-For-Abstract-Classes-In-Python/src/logging_configuration']
2024-08-21 18:35:26 1724245526 IST +0530 | root | DEBUG | Name of module: use_of_protocols_and_interfaces
2024-08-21 18:35:26 1724245526 IST +0530 | root | DEBUG | Path to module is: ['/run/media/ramumsrk/1.0TiB/repositories/Python-Programming-Language-CPython/OOP-Object-Oriented-Programming-Python-Programming-Language-CPython/Rethinking-The-Need-For-Abstract-Classes-In-Python/src/use_of_protocols_and_interfaces']
2024-08-21 18:35:26 1724245526 IST +0530 | root | DEBUG | Name of module: use_of_protocols_and_interfaces.Duck
2024-08-21 18:35:26 1724245526 IST +0530 | root | DEBUG | Path to module is: ['/run/media/ramumsrk/1.0TiB/repositories/Python-Programming-Language-CPython/OOP-Object-Oriented-Programming-Python-Programming-Language-CPython/Rethinking-The-Need-For-Abstract-Classes-In-Python/src/use_of_protocols_and_interfaces/Duck']
2024-08-21 18:35:26 1724245526 IST +0530 | root | DEBUG | Name of module: use_of_protocols_and_interfaces.Quackable
2024-08-21 18:35:26 1724245526 IST +0530 | root | DEBUG | Path to module is: ['/run/media/ramumsrk/1.0TiB/repositories/Python-Programming-Language-CPython/OOP-Object-Oriented-Programming-Python-Programming-Language-CPython/Rethinking-The-Need-For-Abstract-Classes-In-Python/src/use_of_protocols_and_interfaces/Quackable']
2024-08-21 18:38:07 1724245687 IST +0530 | root | DEBUG | Module name is: logging_configuration
2024-08-21 18:38:07 1724245687 IST +0530 | root | DEBUG | Path to module is: ['/run/media/ramumsrk/1.0TiB/repositories/Python-Programming-Language-CPython/OOP-Object-Oriented-Programming-Python-Programming-Language-CPython/Rethinking-The-Need-For-Abstract-Classes-In-Python/src/logging_configuration']
2024-08-21 18:38:07 1724245687 IST +0530 | root | DEBUG | Name of module: use_of_protocols_and_interfaces
2024-08-21 18:38:07 1724245687 IST +0530 | root | DEBUG | Path to module is: ['/run/media/ramumsrk/1.0TiB/repositories/Python-Programming-Language-CPython/OOP-Object-Oriented-Programming-Python-Programming-Language-CPython/Rethinking-The-Need-For-Abstract-Classes-In-Python/src/use_of_protocols_and_interfaces']
2024-08-21 18:38:07 1724245687 IST +0530 | root | DEBUG | Name of module: use_of_protocols_and_interfaces.Duck
2024-08-21 18:38:07 1724245687 IST +0530 | root | DEBUG | Path to module is: ['/run/media/ramumsrk/1.0TiB/repositories/Python-Programming-Language-CPython/OOP-Object-Oriented-Programming-Python-Programming-Language-CPython/Rethinking-The-Need-For-Abstract-Classes-In-Python/src/use_of_protocols_and_interfaces/Duck']
2024-08-21 18:38:07 1724245687 IST +0530 | root | DEBUG | Name of module: use_of_protocols_and_interfaces.Quackable
2024-08-21 18:38:07 1724245687 IST +0530 | root | DEBUG | Path to module is: ['/run/media/ramumsrk/1.0TiB/repositories/Python-Programming-Language-CPython/OOP-Object-Oriented-Programming-Python-Programming-Language-CPython/Rethinking-The-Need-For-Abstract-Classes-In-Python/src/use_of_protocols_and_interfaces/Quackable']
2024-08-21 18:39:34 1724245774 IST +0530 | root | DEBUG | Module name is: logging_configuration
2024-08-21 18:39:34 1724245774 IST +0530 | root | DEBUG | Path to module is: ['/run/media/ramumsrk/1.0TiB/repositories/Python-Programming-Language-CPython/OOP-Object-Oriented-Programming-Python-Programming-Language-CPython/Rethinking-The-Need-For-Abstract-Classes-In-Python/src/logging_configuration']
2024-08-21 18:39:34 1724245774 IST +0530 | root | DEBUG | Name of module: use_of_protocols_and_interfaces
2024-08-21 18:39:34 1724245774 IST +0530 | root | DEBUG | Path to module is: ['/run/media/ramumsrk/1.0TiB/repositories/Python-Programming-Language-CPython/OOP-Object-Oriented-Programming-Python-Programming-Language-CPython/Rethinking-The-Need-For-Abstract-Classes-In-Python/src/use_of_protocols_and_interfaces']
2024-08-21 18:39:34 1724245774 IST +0530 | root | DEBUG | Name of module: use_of_protocols_and_interfaces.duck
2024-08-21 18:39:34 1724245774 IST +0530 | root | DEBUG | Path to module is: ['/run/media/ramumsrk/1.0TiB/repositories/Python-Programming-Language-CPython/OOP-Object-Oriented-Programming-Python-Programming-Language-CPython/Rethinking-The-Need-For-Abstract-Classes-In-Python/src/use_of_protocols_and_interfaces/duck']
2024-08-21 18:39:34 1724245774 IST +0530 | root | DEBUG | Name of module: use_of_protocols_and_interfaces.quackable
2024-08-21 18:39:34 1724245774 IST +0530 | root | DEBUG | Path to module is: ['/run/media/ramumsrk/1.0TiB/repositories/Python-Programming-Language-CPython/OOP-Object-Oriented-Programming-Python-Programming-Language-CPython/Rethinking-The-Need-For-Abstract-Classes-In-Python/src/use_of_protocols_and_interfaces/quackable']
2024-08-21 18:41:10 1724245870 IST +0530 | root | DEBUG | Module name is: logging_configuration
2024-08-21 18:41:10 1724245870 IST +0530 | root | DEBUG | Path to module is: ['/run/media/ramumsrk/1.0TiB/repositories/Python-Programming-Language-CPython/OOP-Object-Oriented-Programming-Python-Programming-Language-CPython/Rethinking-The-Need-For-Abstract-Classes-In-Python/src/logging_configuration']
2024-08-21 18:41:10 1724245870 IST +0530 | root | DEBUG | Name of module: use_of_protocols_and_interfaces
2024-08-21 18:41:10 1724245870 IST +0530 | root | DEBUG | Path to module is: ['/run/media/ramumsrk/1.0TiB/repositories/Python-Programming-Language-CPython/OOP-Object-Oriented-Programming-Python-Programming-Language-CPython/Rethinking-The-Need-For-Abstract-Classes-In-Python/src/use_of_protocols_and_interfaces']
2024-08-21 18:41:10 1724245870 IST +0530 | root | DEBUG | Name of module: use_of_protocols_and_interfaces.duck
2024-08-21 18:41:10 1724245870 IST +0530 | root | DEBUG | Path to module is: ['/run/media/ramumsrk/1.0TiB/repositories/Python-Programming-Language-CPython/OOP-Object-Oriented-Programming-Python-Programming-Language-CPython/Rethinking-The-Need-For-Abstract-Classes-In-Python/src/use_of_protocols_and_interfaces/duck']
2024-08-21 18:41:10 1724245870 IST +0530 | root | DEBUG | Name of module: use_of_protocols_and_interfaces.quackable
2024-08-21 18:41:10 1724245870 IST +0530 | root | DEBUG | Path to module is: ['/run/media/ramumsrk/1.0TiB/repositories/Python-Programming-Language-CPython/OOP-Object-Oriented-Programming-Python-Programming-Language-CPython/Rethinking-The-Need-For-Abstract-Classes-In-Python/src/use_of_protocols_and_interfaces/quackable']
2024-08-21 18:41:10 1724245870 IST +0530 | root | DEBUG | duck.quack()='Quack!'
2024-08-21 18:41:10 1724245870 IST +0530 | root | DEBUG | make_quack(duck)=None
2024-08-21 18:42:58 1724245978 IST +0530 | root | DEBUG | Module name is: logging_configuration
2024-08-21 18:42:58 1724245978 IST +0530 | root | DEBUG | Path to module is: ['/run/media/ramumsrk/1.0TiB/repositories/Python-Programming-Language-CPython/OOP-Object-Oriented-Programming-Python-Programming-Language-CPython/Rethinking-The-Need-For-Abstract-Classes-In-Python/src/logging_configuration']
2024-08-21 18:42:58 1724245978 IST +0530 | root | DEBUG | Name of module: use_of_protocols_and_interfaces
2024-08-21 18:42:58 1724245978 IST +0530 | root | DEBUG | Path to module is: ['/run/media/ramumsrk/1.0TiB/repositories/Python-Programming-Language-CPython/OOP-Object-Oriented-Programming-Python-Programming-Language-CPython/Rethinking-The-Need-For-Abstract-Classes-In-Python/src/use_of_protocols_and_interfaces']
2024-08-21 18:42:58 1724245978 IST +0530 | root | DEBUG | Name of module: use_of_protocols_and_interfaces.duck
2024-08-21 18:42:58 1724245978 IST +0530 | root | DEBUG | Path to module is: ['/run/media/ramumsrk/1.0TiB/repositories/Python-Programming-Language-CPython/OOP-Object-Oriented-Programming-Python-Programming-Language-CPython/Rethinking-The-Need-For-Abstract-Classes-In-Python/src/use_of_protocols_and_interfaces/duck']
2024-08-21 18:42:58 1724245978 IST +0530 | root | DEBUG | Name of module: use_of_protocols_and_interfaces.quackable
2024-08-21 18:42:58 1724245978 IST +0530 | root | DEBUG | Path to module is: ['/run/media/ramumsrk/1.0TiB/repositories/Python-Programming-Language-CPython/OOP-Object-Oriented-Programming-Python-Programming-Language-CPython/Rethinking-The-Need-For-Abstract-Classes-In-Python/src/use_of_protocols_and_interfaces/quackable']
2024-08-21 18:42:58 1724245978 IST +0530 | root | DEBUG | duck.quack()='Quack!'
