2024-08-25 07:33:41.1724551421 IST +0530 | root | DEBUG | Name of module is: logging_configuration
2024-08-25 07:33:41.1724551421 IST +0530 | root | DEBUG | Path to module is: ['/run/media/ramumsrk/1.0TiB/repositories/Python-Programming-Language-CPython/Python-Classes-And-Objects-Tutorials/src/logging_configuration']
2024-08-25 07:33:41.1724551421 IST +0530 | root | DEBUG | Name of module is: python_oop_tutorial_object_oriented_programming_2_creating_classes
2024-08-25 07:33:41.1724551421 IST +0530 | root | DEBUG | Path to module is: ['/run/media/ramumsrk/1.0TiB/repositories/Python-Programming-Language-CPython/Python-Classes-And-Objects-Tutorials/src/python_oop_tutorial_object_oriented_programming_2_creating_classes']
2024-08-25 07:33:41.1724551421 IST +0530 | root | DEBUG | Name of module is: __main__
2024-08-25 07:33:41.1724551421 IST +0530 | root | DEBUG | File constituting module is: /run/media/ramumsrk/1.0TiB/repositories/Python-Programming-Language-CPython/Python-Classes-And-Objects-Tutorials/src/main_2_creating_classes.py
2024-08-25 07:33:41.1724551421 IST +0530 | root | DEBUG | An instance of <class 'python_oop_tutorial_object_oriented_programming_2_creating_classes.dog.dog.Dog'> is being initialized
2024-08-25 07:33:41.1724551421 IST +0530 | root | DEBUG | type(tim)=<class 'python_oop_tutorial_object_oriented_programming_2_creating_classes.dog.dog.Dog'>
2024-08-25 07:33:41.1724551421 IST +0530 | root | DEBUG | tim=<python_oop_tutorial_object_oriented_programming_2_creating_classes.dog.dog.Dog object at 0x7fd6e1dc3020>
2024-08-25 07:39:24.1724551764 IST +0530 | root | DEBUG | Name of module is: logging_configuration
2024-08-25 07:39:24.1724551764 IST +0530 | root | DEBUG | Path to module is: ['/run/media/ramumsrk/1.0TiB/repositories/Python-Programming-Language-CPython/Python-Classes-And-Objects-Tutorials/src/logging_configuration']
2024-08-25 07:39:24.1724551764 IST +0530 | root | DEBUG | Name of module is: python_oop_tutorial_object_oriented_programming_2_creating_classes
2024-08-25 07:39:24.1724551764 IST +0530 | root | DEBUG | Path to module is: ['/run/media/ramumsrk/1.0TiB/repositories/Python-Programming-Language-CPython/Python-Classes-And-Objects-Tutorials/src/python_oop_tutorial_object_oriented_programming_2_creating_classes']
2024-08-25 07:39:24.1724551764 IST +0530 | root | DEBUG | Name of module is: __main__
2024-08-25 07:39:24.1724551764 IST +0530 | root | DEBUG | File constituting module is: /run/media/ramumsrk/1.0TiB/repositories/Python-Programming-Language-CPython/Python-Classes-And-Objects-Tutorials/src/main_2_creating_classes.py
2024-08-25 07:39:24.1724551764 IST +0530 | root | DEBUG | An instance of <class 'python_oop_tutorial_object_oriented_programming_2_creating_classes.dog.dog.Dog'> self=<python_oop_tutorial_object_oriented_programming_2_creating_classes.dog.dog.Dog object at 0x7f530d106fc0> is being initialized
2024-08-25 07:39:24.1724551764 IST +0530 | root | DEBUG | type(tim)=<class 'python_oop_tutorial_object_oriented_programming_2_creating_classes.dog.dog.Dog'>
2024-08-25 07:39:24.1724551764 IST +0530 | root | DEBUG | tim=<python_oop_tutorial_object_oriented_programming_2_creating_classes.dog.dog.Dog object at 0x7f530d106fc0>
2024-08-25 07:41:05.1724551865 IST +0530 | root | DEBUG | Name of module is: logging_configuration
